Video title,Comment,Processed_Comment,English_Translation,Tokenized_POS
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I m watching this 1 March 2023 for the very first time .. can&#39;t describe my emotions .totally masterpiece,watching march first time cant describe emotion totally masterpiece,Watching March First Time Cant Describe Emotion Totally MasterPiece,"[('Watching', 'VERB'), ('March', 'PROPN'), ('First', 'PROPN'), ('Time', 'PROPN'), ('Ca', 'AUX'), ('nt', 'PART'), ('Describe', 'VERB'), ('Emotion', 'PROPN'), ('Totally', 'PROPN'), ('MasterPiece', 'PROPN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Muje pheli baar Kareena Kapoor itni achi lagi h ❤️,muje pheli baar kareena kapoor itni achi lagi h,I liked Kareena Kapoor so much for the first time,"[('I', 'PRON'), ('liked', 'VERB'), ('Kareena', 'PROPN'), ('Kapoor', 'PROPN'), ('so', 'ADV'), ('much', 'ADV'), ('for', 'ADP'), ('the', 'DET'), ('first', 'ADJ'), ('time', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This movie is like JANNAT OF ALL THE TIME ❤ <br>Each and every dialogue each and every song was just so so special for me and the innocent ADITYA KASHYAP i just love him!!! Always JAB WE MET💕,movie like jannat time breach every dialogue every song special innocent aditya kashyap love always jab met,Movie Like Jannat Time Breach Every Dialogue Every Song Special Innocent Aditya Kashyap Love Always Jab Met,"[('Movie', 'NOUN'), ('Like', 'ADP'), ('Jannat', 'PROPN'), ('Time', 'PROPN'), ('Breach', 'PROPN'), ('Every', 'DET'), ('Dialogue', 'PROPN'), ('Every', 'DET'), ('Song', 'PROPN'), ('Special', 'PROPN'), ('Innocent', 'PROPN'), ('Aditya', 'PROPN'), ('Kashyap', 'PROPN'), ('Love', 'PROPN'), ('Always', 'ADV'), ('Jab', 'PROPN'), ('Met', 'PROPN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Just watched in theatre for the firt time. What an experience. I have watched in phone earlier. But the experience I got in a theatre is unimaginable. I have a very special connection to this film.,watched theatre firt time experience watched phone earlier experience got theatre unimaginable special connection film,Watched theater first time experience Watched phone Earlier Experience Got TheATRE Unimaginable Special Connection Film,"[('Watched', 'VERB'), ('theater', 'NOUN'), ('first', 'ADJ'), ('time', 'NOUN'), ('experience', 'NOUN'), ('Watched', 'VERB'), ('phone', 'NOUN'), ('Earlier', 'ADJ'), ('Experience', 'NOUN'), ('Got', 'PROPN'), ('TheATRE', 'ADJ'), ('Unimaginable', 'ADJ'), ('Special', 'PROPN'), ('Connection', 'PROPN'), ('Film', 'PROPN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vidu are you here ??,vidu,vidu,"[('vidu', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,in kabir singh era i want aditya in my life,kabir singh era want aditya life,Kabir Singh Era Want Aditya Life,"[('Kabir', 'NOUN'), ('Singh', 'PROPN'), ('Era', 'PROPN'), ('Want', 'VERB'), ('Aditya', 'PROPN'), ('Life', 'NOUN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Am i the only one here who didn&#39;t watched even part 1 of this series😂😂,one didnt watched even part series,One Didnt Watched even Part Series,"[('One', 'NUM'), ('Did', 'AUX'), ('nt', 'PART'), ('Watched', 'VERB'), ('even', 'ADV'), ('Part', 'PROPN'), ('Series', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Release date plz,release date plz,release date plz,"[('release', 'NOUN'), ('date', 'NOUN'), ('plz', 'VERB')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Desperately waiting for this one ❤❤❤😍😍😍 vikrant is just amazing 😍😍😍😍❤❤,desperately waiting one vikrant amazing,desperately waiting one vikrant amazing,"[('desperately', 'ADV'), ('waiting', 'VERB'), ('one', 'NUM'), ('vikrant', 'NOUN'), ('amazing', 'ADJ')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Abhi part 1 khtm kiya Netflix ji kya movie thi<br>Abhi part 2💀,abhi part khtm kiya netflix ji kya movie thibrabhi part,"Right now Netflix Ji, what movie Thibrabhi Part","[('Right', 'ADV'), ('now', 'ADV'), ('Netflix', 'PROPN'), ('Ji', 'PROPN'), (',', 'PUNCT'), ('what', 'DET'), ('movie', 'NOUN'), ('Thibrabhi', 'PROPN'), ('Part', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Can’t wait omggggggggggg,cant wait omggggggggggg,Cant Wait OmGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,"[('Ca', 'AUX'), ('nt', 'PART'), ('Wait', 'VERB'), ('OmGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG', 'NOUN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting waiting,waiting waiting,Waiting waiting,"[('Waiting', 'NOUN'), ('waiting', 'VERB')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Damnnnnn,damnnnnn,damnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,"[('damnnnnnnnnnnnnnnnnnnnnnnnnnnnnn', 'NOUN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Why harshvardhan missing,harshvardhan missing,Harshvardhan Missing,"[('Harshvardhan', 'PROPN'), ('Missing', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Vikrant bhai🫶🏻✨,vikrant bhai,Vikrant Bhai,"[('Vikrant', 'PROPN'), ('Bhai', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting,waiting,Waiting,"[('Waiting', 'VERB')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Harshvardhan Rane Is Missing 😢,harshvardhan rane missing,Harshvardhan Rane Missing,"[('Harshvardhan', 'PROPN'), ('Rane', 'PROPN'), ('Missing', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Story of Haseen dilruba movie is amazing and the suspense hidden in it can make anyone interested ❤❤❤,story haseen dilruba movie amazing suspense hidden make anyone interested,Story Haseen Dilruba Movie Amazing Suspense Hidden Make Anyone Interated,"[('Story', 'NOUN'), ('Haseen', 'PROPN'), ('Dilruba', 'PROPN'), ('Movie', 'PROPN'), ('Amazing', 'PROPN'), ('Suspense', 'PROPN'), ('Hidden', 'PROPN'), ('Make', 'VERB'), ('Anyone', 'PRON'), ('Interated', 'VERB')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",All okay but im definitely missing Harshvardhan Rane,okay im definitely missing harshvardhan rane,okay im definitely missing harshvardhan rane,"[('okay', 'INTJ'), ('i', 'PRON'), ('m', 'AUX'), ('definitely', 'ADV'), ('missing', 'VERB'), ('harshvardhan', 'PROPN'), ('rane', 'PROPN')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",The first part was a copy of &#39;A Lamb to Slaughter&#39; by &#39;Roald Dahl&#39;. Ab dusri original hogi ya wo bhi copy hogi?,first part copy lamb slaughter roald dahl ab dusri original hogi ya wo bhi copy hogi,First Part Copy Lamb Slotter Roald Dahal will now be the other original or that too will be copied,"[('First', 'ADJ'), ('Part', 'PROPN'), ('Copy', 'PROPN'), ('Lamb', 'PROPN'), ('Slotter', 'PROPN'), ('Roald', 'PROPN'), ('Dahal', 'PROPN'), ('will', 'AUX'), ('now', 'ADV'), ('be', 'AUX'), ('the', 'DET'), ('other', 'ADJ'), ('original', 'NOUN'), ('or', 'CCONJ'), ('that', 'SCONJ'), ('too', 'ADV'), ('will', 'AUX'), ('be', 'AUX'), ('copied', 'VERB')]"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India","Is this part 2, or a repeat?",part repeat,part reepeat,"[('part', 'NOUN'), ('reepeat', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Looks really promising but only thing not withstanding is Sara ali,look really promising thing withstanding sara ali,Look really promising thing withstanding sara ali,"[('Look', 'AUX'), ('really', 'ADV'), ('promising', 'VERB'), ('thing', 'NOUN'), ('withstanding', 'VERB'), ('sara', 'PROPN'), ('ali', 'PROPN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Angrejo kaa raaj accha tha <br>Sahi hua tha vo aaye the agar vo naa aate aaj hum sab namaj padh re hote aur terrorism ka sabse bada production house india me chal raha hota,angrejo kaa raaj accha tha brsahi hua tha vo aaye agar vo naa aate aaj hum sab namaj padh hote aur terrorism ka sabse bada production house india chal raha hota,"The rule of the British was good, it was a year, if they did not come, today we would have all read Namaz and the biggest production house of Terrorism would have been going on India.","[('The', 'DET'), ('rule', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('British', 'PROPN'), ('was', 'AUX'), ('good', 'ADJ'), (',', 'PUNCT'), ('it', 'PRON'), ('was', 'AUX'), ('a', 'DET'), ('year', 'NOUN'), (',', 'PUNCT'), ('if', 'SCONJ'), ('they', 'PRON'), ('did', 'AUX'), ('not', 'PART'), ('come', 'VERB'), (',', 'PUNCT'), ('today', 'NOUN'), ('we', 'PRON'), ('would', 'AUX'), ('have', 'AUX'), ('all', 'ADV'), ('read', 'VERB'), ('Namaz', 'PROPN'), ('and', 'CCONJ'), ('the', 'DET'), ('biggest', 'ADJ'), ('production', 'NOUN'), ('house', 'NOUN'), ('of', 'ADP'), ('Terrorism', 'PROPN'), ('would', 'AUX'), ('have', 'AUX'), ('been', 'AUX'), ('going', 'VERB'), ('on', 'ADP'), ('India', 'PROPN'), ('.', 'PUNCT')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Wow! Bahut kuch kaha Angrezon ka Sahara le kar 😂<br>Samajhne waale samajh gaye ...😅,wow bahut kuch kaha angrezon ka sahara le kar brsamajhne waale samajh gaye,"Wao said a lot, and the people who were resorting to the British understood","[('Wao', 'NOUN'), ('said', 'VERB'), ('a', 'DET'), ('lot', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('the', 'DET'), ('people', 'NOUN'), ('who', 'PRON'), ('were', 'AUX'), ('resorting', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('British', 'ADJ'), ('understood', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Ae Watan Mere Watan 🔥❤🔥,ae watan mere watan,Aye country my country,"[('Aye', 'ADJ'), ('country', 'NOUN'), ('my', 'PRON'), ('country', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Charkha Chala ke Azadi Nahin I Thi.....I Thi Bhagat Singh Khudiram Bose ,Netaji jasa mahan log aur Azad Hind Fauj ke liye",charkha chala ke azadi nahin thii thi bhagat singh khudiram bose netaji jasa mahan log aur azad hind fauj ke liye,There was no freedom of charkha chala Bhagat Singh Khudiram Bose Netaji and for Azad Hind Fauj,"[('There', 'PRON'), ('was', 'VERB'), ('no', 'DET'), ('freedom', 'NOUN'), ('of', 'ADP'), ('charkha', 'PROPN'), ('chala', 'PROPN'), ('Bhagat', 'PROPN'), ('Singh', 'PROPN'), ('Khudiram', 'PROPN'), ('Bose', 'PROPN'), ('Netaji', 'PROPN'), ('and', 'CCONJ'), ('for', 'ADP'), ('Azad', 'PROPN'), ('Hind', 'PROPN'), ('Fauj', 'PROPN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,I would watch this movie to see if Sara&#39;s acting got any better.,would watch movie see saras acting got better,Wold Watch Movie See Saras Acting Got Better,"[('Wold', 'PROPN'), ('Watch', 'PROPN'), ('Movie', 'PROPN'), ('See', 'VERB'), ('Saras', 'PROPN'), ('Acting', 'NOUN'), ('Got', 'VERB'), ('Better', 'PROPN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Heroin galat choose kr liye,heroin galat choose kr liye,Heroin wrong suck,"[('Heroin', 'ADJ'), ('wrong', 'ADJ'), ('suck', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Will watch it only for Emraan Hashmi,watch emraan hashmi,Watch Emraan Hashmi,"[('Watch', 'VERB'), ('Emraan', 'PROPN'), ('Hashmi', 'PROPN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,bhai .. nahi hoo para raha hai tumse .. tumhare (Bollyowwd) lakshan bikul theek nahi lag rahe ..  rehne do bhai ... tumse naa ho payga ..,bhai nahi hoo para raha hai tumse tumhare bollyowwd lakshan bikul theek nahi lag rahe rehne bhai tumse naa ho payga,"Brother, I am not mercury, your speaking symptoms from you are not looking good, brother will not be able to be able to be good","[('Brother', 'PROPN'), (',', 'PUNCT'), ('I', 'PRON'), ('am', 'AUX'), ('not', 'PART'), ('mercury', 'ADJ'), (',', 'PUNCT'), ('your', 'PRON'), ('speaking', 'VERB'), ('symptoms', 'NOUN'), ('from', 'ADP'), ('you', 'PRON'), ('are', 'AUX'), ('not', 'PART'), ('looking', 'VERB'), ('good', 'ADJ'), (',', 'PUNCT'), ('brother', 'NOUN'), ('will', 'AUX'), ('not', 'PART'), ('be', 'AUX'), ('able', 'ADJ'), ('to', 'PART'), ('be', 'AUX'), ('able', 'ADJ'), ('to', 'PART'), ('be', 'AUX'), ('good', 'ADJ')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,I see Sara Ali Khan. I move on,see sara ali khan move,See Sara Ali Khan Move,"[('See', 'VERB'), ('Sara', 'PROPN'), ('Ali', 'PROPN'), ('Khan', 'PROPN'), ('Move', 'PROPN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Wow!! Loving the patriotic feels!! Great going, Sara!!",wow loving patriotic feel great going sara,Wow loving patriotic feel great going sara,"[('Wow', 'INTJ'), ('loving', 'VERB'), ('patriotic', 'ADJ'), ('feel', 'VERB'), ('great', 'ADJ'), ('going', 'VERB'), ('sara', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Yr itna ganda actor hai yea sara ali khan. Same acting in every movie she doesn&#39;t deserve to do a 2min side role but this bloody creeps are making her heroine😢,yr itna ganda actor hai yea sara ali khan acting every movie doesnt deserve min side role bloody creep making heroine,YR ITNA GANDA Actor Hai Yeh Sara Ali Khan Acting Every Movie Doesn's Side Min Side Role Bloody Creep Making Heroine,"[('YR', 'PROPN'), ('ITNA', 'PROPN'), ('GANDA', 'PROPN'), ('Actor', 'PROPN'), ('Hai', 'PROPN'), ('Yeh', 'PROPN'), ('Sara', 'PROPN'), ('Ali', 'PROPN'), ('Khan', 'PROPN'), ('Acting', 'PROPN'), ('Every', 'DET'), ('Movie', 'PROPN'), ('Doesn', 'PROPN'), (""'s"", 'PART'), ('Side', 'PROPN'), ('Min', 'PROPN'), ('Side', 'PROPN'), ('Role', 'PROPN'), ('Bloody', 'PROPN'), ('Creep', 'PROPN'), ('Making', 'PROPN'), ('Heroine', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Deserve a theatre releass,deserve theatre releass,deserve theatre release,"[('deserve', 'VERB'), ('theatre', 'NOUN'), ('release', 'NOUN')]"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love you guys❤,hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love guy,"We are writing this movie, singing a pussy, singing love will prove to be love","[('We', 'PRON'), ('are', 'AUX'), ('writing', 'VERB'), ('this', 'DET'), ('movie', 'NOUN'), (',', 'PUNCT'), ('singing', 'VERB'), ('a', 'DET'), ('pussy', 'NOUN'), (',', 'PUNCT'), ('singing', 'NOUN'), ('love', 'NOUN'), ('will', 'AUX'), ('prove', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('love', 'NOUN')]"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ab in logoon ko akal aayi ki YouTube pr upload krne se kitna fayda hoga aur kitna boost milega 😂😂😂😂,ab logoon ko akal aayi ki youtube pr upload krne se kitna fayda hoga aur kitna boost milega,Now how much will you benefit from uploading Logoon on YouTube and how much boost,"[('Now', 'INTJ'), ('how', 'SCONJ'), ('much', 'ADV'), ('will', 'AUX'), ('you', 'PRON'), ('benefit', 'VERB'), ('from', 'ADP'), ('uploading', 'VERB'), ('Logoon', 'PROPN'), ('on', 'ADP'), ('YouTube', 'PROPN'), ('and', 'CCONJ'), ('how', 'SCONJ'), ('much', 'ADJ'), ('boost', 'VERB')]"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",JHARKHAND se kon kon movie dekh rhe ho like kare,jharkhand se kon kon movie dekh rhe ho like kare,You are watching the angle movie from Jharkhand,"[('You', 'PRON'), ('are', 'AUX'), ('watching', 'VERB'), ('the', 'DET'), ('angle', 'NOUN'), ('movie', 'NOUN'), ('from', 'ADP'), ('Jharkhand', 'PROPN')]"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Need sequel,need sequel,Need Sequel,"[('Need', 'VERB'), ('Sequel', 'NOUN')]"
