Video title,Comment,Processed_Comment,English_Translation
Ae Watan Mere Watan - Official Trailer | Prime Video India,Will watch it only for Emraan Hashmi,watch emraan hashmi,Watch Emraan Hashmi
Ae Watan Mere Watan - Official Trailer | Prime Video India,bhai .. nahi hoo para raha hai tumse .. tumhare (Bollyowwd) lakshan bikul theek nahi lag rahe ..  rehne do bhai ... tumse naa ho payga ..,bhai nahi hoo para raha hai tumse tumhare bollyowwd lakshan bikul theek nahi lag rahe rehne bhai tumse naa ho payga,"Brother, I am not mercury, your speaking symptoms from you are not looking good, brother will not be able to be able to be good"
Ae Watan Mere Watan - Official Trailer | Prime Video India,I see Sara Ali Khan. I move on,see sara ali khan move,See Sara Ali Khan Move
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Wow!! Loving the patriotic feels!! Great going, Sara!!",wow loving patriotic feel great going sara,Wow loving patriotic feel great going sara
Ae Watan Mere Watan - Official Trailer | Prime Video India,Yr itna ganda actor hai yea sara ali khan. Same acting in every movie she doesn&#39;t deserve to do a 2min side role but this bloody creeps are making her heroine😢,yr itna ganda actor hai yea sara ali khan acting every movie doesnt deserve min side role bloody creep making heroine,YR ITNA GANDA Actor Hai Yeh Sara Ali Khan Acting Every Movie Doesn's Side Min Side Role Bloody Creep Making Heroine
Ae Watan Mere Watan - Official Trailer | Prime Video India,Deserve a theatre releass,deserve theatre releass,deserve theatre release
Ae Watan Mere Watan - Official Trailer | Prime Video India,Hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love you guys❤,hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love guy,"We are writing this movie, singing a pussy, singing love will prove to be love"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ab in logoon ko akal aayi ki YouTube pr upload krne se kitna fayda hoga aur kitna boost milega 😂😂😂😂,ab logoon ko akal aayi ki youtube pr upload krne se kitna fayda hoga aur kitna boost milega,Now how much will you benefit from uploading Logoon on YouTube and how much boost
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",JHARKHAND se kon kon movie dekh rhe ho like kare,jharkhand se kon kon movie dekh rhe ho like kare,You are watching the angle movie from Jharkhand
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Need sequel,need sequel,Need Sequel
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Kis kis ko bina search  kiye movie mili h 😊😊,ki ki ko bina search kiye movie mili h,That Ki got a movie without searching:
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Problem is india never do any bad work.and Pakistan always  attack u.,problem india never bad workand pakistan always attack u,Problem India Never Bad Work and Pakistan Always Attack You
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Copy kyu kartha vhai . App na kudha ka banaa . Bollywood hamesha dusre ka copy paste kartha hai,copy kyu kartha vhai app na kudha ka banaa bollywood hamesha dusre ka copy paste kartha hai,Why does the Bollywood app always paste the copy of the other.
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Gorakhpur se kon kon hai 😊😊😊,gorakhpur se kon kon hai,There is an angle from Gorakhpur
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Himachal Pradesh se koun koun dekh Raha hai.😊,himachal pradesh se koun koun dekh raha hai,Who is watching from Himachal Pradesh
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",What a great movie... Everyone should watch this...❤❤❤,great movie everyone watch,Great Movie Everyone Watch
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Pakistan nam bina koi vi movie hit nohi hota hee.but  why,pakistan nam bina koi vi movie hit nohi hota heebut,The name of Pakistan is not a movie without a hit.
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Sidhe youtube pe 😂😂😂😂,sidhe youtube pe,Straight on YouTube
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Topic dusura lena chahiye tha.,topic dusura lena chahiye tha,Topic should have taken another
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ghanta pasand nahi aya... Hamare India ke PM ko koi touch nahi kar sakta... Sale hero dekhane aaya hai sala...,ghanta pasand nahi aya hamare india ke pm ko koi touch nahi kar sakta sale hero dekhane aaya hai sala,Hour did not like our India's pt. No one can touch the cell hero.
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Hope they will make the part 2 of it soon,hope make part soon,Hope Make Part Soon
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Animal movie full lavo ne mobile ma,animal movie full lavo ne mobile,Animal Movie Full Lavo Ne Mobile
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranbir Kapoor Best romantic hero,ranbir kapoor best romantic hero,Ranbir Kapoor Best Romantic Hero
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Real hai but quality nhi hai,real hai quality nhi hai,Real is not quality
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Sab ladies k comment he,sab lady k comment,sab lady k comment
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Nice movie,nice movie,nice movie
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Esi family mil jaye bhagwan ji ❤,esi family mil jaye bhagwan ji,May you get such a family
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",BHONU ❤❤AZAMGARH,bhonu azamgarh,Bhonu Azamgarh
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Everyone is saying they want family like this but when u get family like this then u ll say them they are taunting .,everyone saying want family like u get family like u say taunting,Everyone Saying Want Family Like U Get Family Like U Say Taunting
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","Jo-jo yha Doctor nhi hai...Khane khane jaao...Best Line...Best of Bassi...At <a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=7238"">02:00:38</a> hrs....😂😂",jojo yha doctor nhi haikhane khane jaaobest linebest bassiat href hr,"Jojo is not a doctor, eating gayebest linabest"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Worst movie,worst movie,Worst Movie
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",hame to nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai❤❤❤,hame nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai,"We did not get such a family, but now we can make such such a smile to our genetic but can try"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranveer shraddha ki awaz nhi pehchan pa rha kya phone me kya bakloli hai yrr😂,ranveer shraddha ki awaz nhi pehchan pa rha kya phone kya bakloli hai yrr,"Ranveer is unable to recognize Shraddha's voice, what is the phone, what is the phone"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ye sab movie me hoti he reall life me to kabi nahi😂,ye sab movie hoti reall life kabi nahi,All this movie is never a reel life
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","<a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=6422"">1:47:02</a>  best seen this movie ❤",href best seen movie,href best seen movie
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Jo jo yaha dr ni hai khana khane jao 🤣🤣🤣🤣🤣🤣,jo jo yaha dr ni hai khana khane jao,Those who are Dr. Ni who are here to eat food
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ha,ha,Is
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Don&#39;t waste your data and time. Movie is not full...,dont waste data time movie full,Dont waste data time movie full
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,😅kon kon a movie abhi dekh rha h ✌️🤔,kon kon movie abhi dekh rha h,Angle angle movie is watching right now
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Full movie nhii hai ye next part kaha hai,full movie nhii hai ye next part kaha hai,This is not a full movie.
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Asa lgta h ki kartik ki body me akshy ka bhoot h . Bilkul same avaj or act,asa lgta h ki kartik ki body akshy ka bhoot h bilkul avaj act,It seems that Karthik's body Akshay's ghost: absolutely voice act
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye btao kis kis ko kartik . Ko dekh lgta h ki akshy Kumar ki memikry kr rha ..,ye btao ki ki ko kartik ko dekh lgta h ki akshy kumar ki memikry kr rha,Tell me that Karthik seems to see that Akshay Kumar is mimicry
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Majak chal raha ye kon sa movie h,majak chal raha ye kon sa movie h,Which movie is going on
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye phone wala scene Hayat aur Murat k drama ki copy h,ye phone wala scene hayat aur murat k drama ki copy h,Copy of this phone scan Hyatt and idol drama
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Wowww,wowww,wowww
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,"<a href=""https://www.youtube.com/watch?v=leKCVxxQ0ZY&amp;t=1965"">https://youtu.be/leKCVxxQ0ZY?t=32m45s</a>",href,href
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Akshy Kumar love you too kamedi❤😅,akshy kumar love kamedi,Akshay Kumar Love Comedy
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Meri tarah comment padne kon kon aaya hai 😅😅😅,meri tarah comment padne kon kon aaya hai,The angle of comment has come like me
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Kon Kon 3 march 2024 ko dekh rahe ho,kon kon march ko dekh rahe ho,Look at the angle angle march
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Over acting,acting,acting
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",999999 i 💕 love ❤️ you ❤ pepola ❤ very nice,love pepola nice,love people nice
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Wrong movie,wrong movie,Wrong Movie
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Ham ko,ham ko,We
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Sangli our Satara wali like Karo ❤,sangli satara wali like karo,Like Sangli Satra
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Kon Sangli Maharashtra se hai ❤,kon sangli maharashtra se hai,Ko is from Sangli Maharashtra
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Ramcharan Ke Sath Na Jaane yah is heroine Ne Tamanna Ne kitne movie Kiye Hain Tamanna Bhatiya aur Ramcharan Jaise hi NTR Mahesh Babu Prabhas superstar Ash KGF ka hero Aisi Na Jaane Ke Kitne ek hi Umra ke hero hai Jinke Sath usne Tamanna Bhatiya Ne acting Ki Hai Lekin Yahan to Apne Papa Ki Umra ke Hero ke sath acting kar raha hai chirenjivi Tamanna Bhati ke liye clap clap,ramcharan ke sath na jaane yah heroine ne tamanna ne kitne movie kiye hain tamanna bhatiya aur ramcharan jaise hi ntr mahesh babu prabhas superstar ash kgf ka hero aisi na jaane ke kitne ek hi umra ke hero hai jinke sath usne tamanna bhatiya ne acting ki hai lekin yahan apne papa ki umra ke hero ke sath acting kar raha hai chirenjivi tamanna bhati ke liye clap clap,Ramcharan ke sath na jaane yah heroine ne tamanna ne kitne movie kiye hain tamanna bhatiya aur ramcharan jaise hi ntr mahesh babu prabhas superstar ash kgf kae kitne ek kitne ek kitne ek hi e hero hai jinke sath usne tamanna bhatiya ne acting ki hai lekinyahan apne papa ki umra ke hero ke sath acting kar raha hai chirenjivi tamanna bhati ke liye clap clap
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024","Hayla , bina sharch kia mil gay re baba",hayla bina sharch kia mil gay baba,Hayla bina search kiye mil gaya baba
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Part 2 chahiye mere ko aor kisko kisko chahiye part 2 comment karo super movie,part chahiye mere ko aor kisko kisko chahiye part comment karo super movie,"Want parts me and who needs part, comment the super movie"
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Mujhe bhi bina search kar k mili gayi,mujhe bhi bina search kar k mili gayi,I also got without searching
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Kushinagar se kon kon Dekh raha hai,kushinagar se kon kon dekh raha hai,Seeing angle from Kushinagar
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",it is not kalki,kalki,kalki
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Bahraich se,bahraich se,From Bahraich
"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Mahoba up95 se kon kon dekh rha hai like kro,mahoba se kon kon dekh rha hai like kro,Look at the angle of Mahoba
Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 march mein kon kon dekh rha h,march mein kon kon dekh rha h,Seeing the angle in March
Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5th march. Today it&#39;s my birthday and i watching this. Jo jo mere comment par rahi hai wo mujhe blessing dete rehna🎉🎉❤❤thank you❤❤🌹🌹,th march today birthday watching jo jo mere comment par rahi hai wo mujhe blessing dete rehnathank,"Rehnhankank, who has been on my comment, who has been on my comment, who has been on my comment"
Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Banaras se 5 March ko kon dekh Raha hai,banaras se march ko kon dekh raha hai,Who is watching March from Banaras
Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Bahut bakwas movie tha😢,bahut bakwas movie tha,It was a very nonsense movie
Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 March 2024 ko kon kon dekh raha h ye movie,march ko kon kon dekh raha h ye movie,This movie is watching the angle angle on March
