Video title,Comment,Processed_Comment,English_Translation,Polarity,Sentiment,Aspects_Sentiments
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","karena ke khandaan me sab mard harami hoge, aur aurate ase pant me hath dalti firte h",karena ke khandaan sab mard harami hoge aur aurate ase pant hath dalti firte h,All men will be bastard to do this and waves are putting hands.,-0.5423,Negative,"{'men': 'Neutral', 'waves': 'Neutral', 'hands': 'Neutral'}"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","Another disaster.<br><br>Aap jaa rahe ho na film dekhne, to mat jaao.<br><br>Audacity and entitlement will be taught a lesson.",another disasterbrbraap jaa rahe ho na film dekhne mat jaaobrbraudacity entitlement taught lesson,"You are going to watch the film, not watching the film",0.0,Neutral,{'film': 'Neutral'}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",not going to warch by using harami word into the movie,going warch using harami word movie,Going Warch Using Harami Word Movie,0.0,Neutral,{}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Ab kriti bhi budhi ho rahi hai,ab kriti bhi budhi ho rahi hai,Now the work is also getting old,0.0,Neutral,{'work': 'Neutral'}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Finally a female lead movie that actually looks good i live Hindi moves,finally female lead movie actually look good live hindi move,Finally Female Lead Movie Actually Look Good Live Hindi Movie,0.4404,Positive,{}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,The innocence of Geet and The Maturity of Aaditya = This combination is❤️,innocence geet maturity aaditya combination,Innocence geet maturity aaditya combination,0.3818,Positive,"{'Innocence': 'Neutral', 'geet': 'Neutral', 'maturity': 'Neutral', 'aaditya': 'Neutral', 'combination': 'Neutral'}"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vibes by adityaaaaaa👀,vibe adityaaaaaa,vibe adityaaaaa,0.0,Neutral,"{'vibe': 'Neutral', 'adityaaaaa': 'Neutral'}"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I want wanna Aditya not a Kabir Singh,want wan na aditya kabir singh,Want wan na aditya kabir singh,0.0772,Positive,{}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This song is ❤🤍💙💚💛🧡💜🤎🖤,song,song,0.0,Neutral,{'song': 'Neutral'}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,How many people get this movie without any search 🤔,many people get movie without search,Many people get movie without search,0.0,Neutral,"{'people': 'Positive', 'movie': 'Neutral', 'search': 'Neutral'}"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,milenge.... milenge......,milenge milenge,We will definitely meet,0.4019,Positive,{}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,All time favorite 😍 movie,time favorite movie,Time favorite movie,0.4588,Positive,"{'Time': 'Neutral', 'movie': 'Positive'}"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,"<a href=""https://www.youtube.com/watch?v=jf2gOSORoqU&amp;t=2860"">47:40</a>",href,href,0.0,Neutral,{}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I m watching this 1 March 2023 for the very first time .. can&#39;t describe my emotions .totally masterpiece,watching march first time cant describe emotion totally masterpiece,Watching March First Time Cant Describe Emotion Totally MasterPiece,0.659,Positive,{}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Muje pheli baar Kareena Kapoor itni achi lagi h ❤️,muje pheli baar kareena kapoor itni achi lagi h,I liked Kareena Kapoor so much for the first time,0.4215,Positive,{'time': 'Positive'}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This movie is like JANNAT OF ALL THE TIME ❤ <br>Each and every dialogue each and every song was just so so special for me and the innocent ADITYA KASHYAP i just love him!!! Always JAB WE MET💕,movie like jannat time breach every dialogue every song special innocent aditya kashyap love always jab met,Movie Like Jannat Time Breach Every Dialogue Every Song Special Innocent Aditya Kashyap Love Always Jab Met,0.8957,Positive,{'Movie': 'Neutral'}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Just watched in theatre for the firt time. What an experience. I have watched in phone earlier. But the experience I got in a theatre is unimaginable. I have a very special connection to this film.,watched theatre firt time experience watched phone earlier experience got theatre unimaginable special connection film,Watched theater first time experience Watched phone Earlier Experience Got TheATRE Unimaginable Special Connection Film,0.4019,Positive,"{'theater': 'Neutral', 'time': 'Positive', 'experience': 'Neutral', 'phone': 'Neutral', 'Experience': 'Neutral'}"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vidu are you here ??,vidu,vidu,0.0,Neutral,{'vidu': 'Neutral'}
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,in kabir singh era i want aditya in my life,kabir singh era want aditya life,Kabir Singh Era Want Aditya Life,0.0772,Positive,"{'Kabir': 'Neutral', 'Life': 'Neutral'}"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Am i the only one here who didn&#39;t watched even part 1 of this series😂😂,one didnt watched even part series,One Didnt Watched even Part Series,0.0,Neutral,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Release date plz,release date plz,release date plz,0.0772,Positive,"{'release': 'Neutral', 'date': 'Neutral'}"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Desperately waiting for this one ❤❤❤😍😍😍 vikrant is just amazing 😍😍😍😍❤❤,desperately waiting one vikrant amazing,desperately waiting one vikrant amazing,0.296,Positive,{'vikrant': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Abhi part 1 khtm kiya Netflix ji kya movie thi<br>Abhi part 2💀,abhi part khtm kiya netflix ji kya movie thibrabhi part,"Right now Netflix Ji, what movie Thibrabhi Part",0.0,Neutral,{'movie': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Can’t wait omggggggggggg,cant wait omggggggggggg,Cant Wait OmGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,0.0,Neutral,{'OmGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting waiting,waiting waiting,Waiting waiting,0.0,Neutral,{'Waiting': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Damnnnnn,damnnnnn,damnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,0.0,Neutral,{'damnnnnnnnnnnnnnnnnnnnnnnnnnnnnn': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Why harshvardhan missing,harshvardhan missing,Harshvardhan Missing,-0.296,Negative,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Vikrant bhai🫶🏻✨,vikrant bhai,Vikrant Bhai,0.0,Neutral,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting,waiting,Waiting,0.0,Neutral,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Harshvardhan Rane Is Missing 😢,harshvardhan rane missing,Harshvardhan Rane Missing,-0.296,Negative,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Story of Haseen dilruba movie is amazing and the suspense hidden in it can make anyone interested ❤❤❤,story haseen dilruba movie amazing suspense hidden make anyone interested,Story Haseen Dilruba Movie Amazing Suspense Hidden Make Anyone Interated,0.5859,Positive,{'Story': 'Neutral'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",All okay but im definitely missing Harshvardhan Rane,okay im definitely missing harshvardhan rane,okay im definitely missing harshvardhan rane,0.34,Positive,{}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",The first part was a copy of &#39;A Lamb to Slaughter&#39; by &#39;Roald Dahl&#39;. Ab dusri original hogi ya wo bhi copy hogi?,first part copy lamb slaughter roald dahl ab dusri original hogi ya wo bhi copy hogi,First Part Copy Lamb Slotter Roald Dahal will now be the other original or that too will be copied,0.3182,Positive,{'original': 'Positive'}
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India","Is this part 2, or a repeat?",part repeat,part reepeat,0.0,Neutral,"{'part': 'Neutral', 'reepeat': 'Neutral'}"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Looks really promising but only thing not withstanding is Sara ali,look really promising thing withstanding sara ali,Look really promising thing withstanding sara ali,0.4576,Positive,{'thing': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,Angrejo kaa raaj accha tha <br>Sahi hua tha vo aaye the agar vo naa aate aaj hum sab namaj padh re hote aur terrorism ka sabse bada production house india me chal raha hota,angrejo kaa raaj accha tha brsahi hua tha vo aaye agar vo naa aate aaj hum sab namaj padh hote aur terrorism ka sabse bada production house india chal raha hota,"The rule of the British was good, it was a year, if they did not come, today we would have all read Namaz and the biggest production house of Terrorism would have been going on India.",-0.4019,Negative,"{'rule': 'Neutral', 'year': 'Neutral', 'today': 'Neutral', 'production': 'Neutral', 'house': 'Neutral'}"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Wow! Bahut kuch kaha Angrezon ka Sahara le kar 😂<br>Samajhne waale samajh gaye ...😅,wow bahut kuch kaha angrezon ka sahara le kar brsamajhne waale samajh gaye,"Wao said a lot, and the people who were resorting to the British understood",0.0,Neutral,"{'Wao': 'Neutral', 'lot': 'Neutral', 'people': 'Neutral', 'understood': 'Neutral'}"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Ae Watan Mere Watan 🔥❤🔥,ae watan mere watan,Aye country my country,0.0,Neutral,{'country': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Charkha Chala ke Azadi Nahin I Thi.....I Thi Bhagat Singh Khudiram Bose ,Netaji jasa mahan log aur Azad Hind Fauj ke liye",charkha chala ke azadi nahin thii thi bhagat singh khudiram bose netaji jasa mahan log aur azad hind fauj ke liye,There was no freedom of charkha chala Bhagat Singh Khudiram Bose Netaji and for Azad Hind Fauj,-0.5216,Negative,{'freedom': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,I would watch this movie to see if Sara&#39;s acting got any better.,would watch movie see saras acting got better,Wold Watch Movie See Saras Acting Got Better,0.4404,Positive,{'Acting': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,Heroin galat choose kr liye,heroin galat choose kr liye,Heroin wrong suck,-0.8481,Negative,{'suck': 'Negative'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,Will watch it only for Emraan Hashmi,watch emraan hashmi,Watch Emraan Hashmi,0.0,Neutral,{}
Ae Watan Mere Watan - Official Trailer | Prime Video India,bhai .. nahi hoo para raha hai tumse .. tumhare (Bollyowwd) lakshan bikul theek nahi lag rahe ..  rehne do bhai ... tumse naa ho payga ..,bhai nahi hoo para raha hai tumse tumhare bollyowwd lakshan bikul theek nahi lag rahe rehne bhai tumse naa ho payga,"Brother, I am not mercury, your speaking symptoms from you are not looking good, brother will not be able to be able to be good",0.1265,Positive,"{'symptoms': 'Neutral', 'brother': 'Neutral'}"
Ae Watan Mere Watan - Official Trailer | Prime Video India,I see Sara Ali Khan. I move on,see sara ali khan move,See Sara Ali Khan Move,0.0,Neutral,{}
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Wow!! Loving the patriotic feels!! Great going, Sara!!",wow loving patriotic feel great going sara,Wow loving patriotic feel great going sara,0.9153,Positive,{'sara': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,Yr itna ganda actor hai yea sara ali khan. Same acting in every movie she doesn&#39;t deserve to do a 2min side role but this bloody creeps are making her heroine😢,yr itna ganda actor hai yea sara ali khan acting every movie doesnt deserve min side role bloody creep making heroine,YR ITNA GANDA Actor Hai Yeh Sara Ali Khan Acting Every Movie Doesn's Side Min Side Role Bloody Creep Making Heroine,0.2023,Positive,{'Heroine': 'Neutral'}
Ae Watan Mere Watan - Official Trailer | Prime Video India,Deserve a theatre releass,deserve theatre releass,deserve theatre release,0.0,Neutral,"{'theatre': 'Neutral', 'release': 'Neutral'}"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love you guys❤,hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love guy,"We are writing this movie, singing a pussy, singing love will prove to be love",0.8555,Positive,"{'movie': 'Neutral', 'pussy': 'Neutral', 'singing': 'Neutral', 'love': 'Positive'}"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ab in logoon ko akal aayi ki YouTube pr upload krne se kitna fayda hoga aur kitna boost milega 😂😂😂😂,ab logoon ko akal aayi ki youtube pr upload krne se kitna fayda hoga aur kitna boost milega,Now how much will you benefit from uploading Logoon on YouTube and how much boost,0.6908,Positive,{}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",JHARKHAND se kon kon movie dekh rhe ho like kare,jharkhand se kon kon movie dekh rhe ho like kare,You are watching the angle movie from Jharkhand,0.0,Neutral,"{'angle': 'Neutral', 'movie': 'Neutral'}"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Need sequel,need sequel,Need Sequel,0.0,Neutral,{'Sequel': 'Neutral'}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Kis kis ko bina search  kiye movie mili h 😊😊,ki ki ko bina search kiye movie mili h,That Ki got a movie without searching:,0.0,Neutral,{'movie': 'Neutral'}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Problem is india never do any bad work.and Pakistan always  attack u.,problem india never bad workand pakistan always attack u,Problem India Never Bad Work and Pakistan Always Attack You,-0.4497,Negative,{'Problem': 'Neutral'}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Copy kyu kartha vhai . App na kudha ka banaa . Bollywood hamesha dusre ka copy paste kartha hai,copy kyu kartha vhai app na kudha ka banaa bollywood hamesha dusre ka copy paste kartha hai,Why does the Bollywood app always paste the copy of the other.,0.0,Neutral,"{'app': 'Neutral', 'copy': 'Neutral'}"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Gorakhpur se kon kon hai 😊😊😊,gorakhpur se kon kon hai,There is an angle from Gorakhpur,0.0,Neutral,{'angle': 'Neutral'}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Himachal Pradesh se koun koun dekh Raha hai.😊,himachal pradesh se koun koun dekh raha hai,Who is watching from Himachal Pradesh,0.0,Neutral,{}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",What a great movie... Everyone should watch this...❤❤❤,great movie everyone watch,Great Movie Everyone Watch,0.6249,Positive,{}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Pakistan nam bina koi vi movie hit nohi hota hee.but  why,pakistan nam bina koi vi movie hit nohi hota heebut,The name of Pakistan is not a movie without a hit.,0.0,Neutral,"{'name': 'Neutral', 'movie': 'Neutral', 'hit': 'Neutral'}"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Sidhe youtube pe 😂😂😂😂,sidhe youtube pe,Straight on YouTube,0.2263,Positive,{}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Topic dusura lena chahiye tha.,topic dusura lena chahiye tha,Topic should have taken another,0.0,Neutral,{'Topic': 'Neutral'}
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ghanta pasand nahi aya... Hamare India ke PM ko koi touch nahi kar sakta... Sale hero dekhane aaya hai sala...,ghanta pasand nahi aya hamare india ke pm ko koi touch nahi kar sakta sale hero dekhane aaya hai sala,Hour did not like our India's pt. No one can touch the cell hero.,0.0747,Positive,"{'Hour': 'Neutral', 'one': 'Neutral', 'cell': 'Neutral', 'hero': 'Neutral'}"
"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Hope they will make the part 2 of it soon,hope make part soon,Hope Make Part Soon,0.4404,Positive,{}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Animal movie full lavo ne mobile ma,animal movie full lavo ne mobile,Animal Movie Full Lavo Ne Mobile,0.0,Neutral,{}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranbir Kapoor Best romantic hero,ranbir kapoor best romantic hero,Ranbir Kapoor Best Romantic Hero,0.8885,Positive,{}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Real hai but quality nhi hai,real hai quality nhi hai,Real is not quality,0.0,Neutral,{'quality': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Sab ladies k comment he,sab lady k comment,sab lady k comment,0.0,Neutral,{'comment': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Nice movie,nice movie,nice movie,0.4215,Positive,{'movie': 'Positive'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Esi family mil jaye bhagwan ji ❤,esi family mil jaye bhagwan ji,May you get such a family,0.0,Neutral,{'family': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",BHONU ❤❤AZAMGARH,bhonu azamgarh,Bhonu Azamgarh,0.0,Neutral,{}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Everyone is saying they want family like this but when u get family like this then u ll say them they are taunting .,everyone saying want family like u get family like u say taunting,Everyone Saying Want Family Like U Get Family Like U Say Taunting,0.6486,Positive,{'U': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","Jo-jo yha Doctor nhi hai...Khane khane jaao...Best Line...Best of Bassi...At <a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=7238"">02:00:38</a> hrs....😂😂",jojo yha doctor nhi haikhane khane jaaobest linebest bassiat href hr,"Jojo is not a doctor, eating gayebest linabest",0.0,Neutral,{'doctor': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Worst movie,worst movie,Worst Movie,-0.6249,Negative,{}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",hame to nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai❤❤❤,hame nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai,"We did not get such a family, but now we can make such such a smile to our genetic but can try",0.5023,Positive,"{'family': 'Neutral', 'smile': 'Positive'}"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranveer shraddha ki awaz nhi pehchan pa rha kya phone me kya bakloli hai yrr😂,ranveer shraddha ki awaz nhi pehchan pa rha kya phone kya bakloli hai yrr,"Ranveer is unable to recognize Shraddha's voice, what is the phone, what is the phone",0.0,Neutral,"{'Ranveer': 'Neutral', 'voice': 'Neutral', 'phone': 'Neutral'}"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ye sab movie me hoti he reall life me to kabi nahi😂,ye sab movie hoti reall life kabi nahi,All this movie is never a reel life,0.0,Neutral,"{'movie': 'Neutral', 'life': 'Neutral'}"
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","<a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=6422"">1:47:02</a>  best seen this movie ❤",href best seen movie,href best seen movie,0.6369,Positive,{'movie': 'Neutral'}
"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Jo jo yaha dr ni hai khana khane jao 🤣🤣🤣🤣🤣🤣,jo jo yaha dr ni hai khana khane jao,Those who are Dr. Ni who are here to eat food,0.0,Neutral,{'food': 'Neutral'}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ha,ha,Is,0.0,Neutral,{}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Don&#39;t waste your data and time. Movie is not full...,dont waste data time movie full,Dont waste data time movie full,0.3252,Positive,"{'data': 'Neutral', 'time': 'Neutral', 'movie': 'Positive'}"
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,😅kon kon a movie abhi dekh rha h ✌️🤔,kon kon movie abhi dekh rha h,Angle angle movie is watching right now,0.0,Neutral,"{'angle': 'Neutral', 'movie': 'Neutral'}"
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Full movie nhii hai ye next part kaha hai,full movie nhii hai ye next part kaha hai,This is not a full movie.,0.0,Neutral,{'movie': 'Positive'}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Asa lgta h ki kartik ki body me akshy ka bhoot h . Bilkul same avaj or act,asa lgta h ki kartik ki body akshy ka bhoot h bilkul avaj act,It seems that Karthik's body Akshay's ghost: absolutely voice act,-0.3182,Negative,"{'body': 'Neutral', 'ghost': 'Neutral', 'act': 'Positive'}"
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye btao kis kis ko kartik . Ko dekh lgta h ki akshy Kumar ki memikry kr rha ..,ye btao ki ki ko kartik ko dekh lgta h ki akshy kumar ki memikry kr rha,Tell me that Karthik seems to see that Akshay Kumar is mimicry,0.0,Neutral,{}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Majak chal raha ye kon sa movie h,majak chal raha ye kon sa movie h,Which movie is going on,0.0,Neutral,{'movie': 'Neutral'}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye phone wala scene Hayat aur Murat k drama ki copy h,ye phone wala scene hayat aur murat k drama ki copy h,Copy of this phone scan Hyatt and idol drama,0.0,Neutral,"{'phone': 'Neutral', 'scan': 'Neutral', 'idol': 'Neutral', 'drama': 'Neutral'}"
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Wowww,wowww,wowww,0.0,Neutral,{}
Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,"<a href=""https://www.youtube.com/watch?v=leKCVxxQ0ZY&amp;t=1965"">https://youtu.be/leKCVxxQ0ZY?t=32m45s</a>",href,href,0.0,Neutral,{}
